id,name,key,new_name,new_key
25b0733b-c9c9-4348-8ab3-65a03f8a0260,Beautiful piano with spacey reverb.mp3,medeo/resource/music/pixabay-bgm/Beautiful piano with spacey reverb.mp3,Beautiful piano with spacey reverb,medeo/resource/music/pixabay-bgm/25b0733b-c9c9-4348-8ab3-65a03f8a0260.mp3
c8bbdbd3-992c-41dd-be94-2f9074e3ccd9,Acoustic Inspiring Piano.mp3,medeo/resource/music/pixabay-bgm/Acoustic Inspiring Piano.mp3,Acoustic Inspiring Piano,medeo/resource/music/pixabay-bgm/c8bbdbd3-992c-41dd-be94-2f9074e3ccd9.mp3
681b25a1-0423-4d3b-9c21-268642e227af,Waiting For A Ride That Never Showed.mp3,medeo/resource/music/pixabay-bgm/Waiting For A Ride That Never Showed.mp3,Waiting For A Ride That Never Showed,medeo/resource/music/pixabay-bgm/681b25a1-0423-4d3b-9c21-268642e227af.mp3
709cae64-90c2-4c35-ac3c-8e0b6ff31e23,Wild (142bpm) dslashm.mp3,medeo/resource/music/pixabay-bgm/Wild (142bpm) dslashm.mp3,Wild (142bpm) dslashm,medeo/resource/music/pixabay-bgm/709cae64-90c2-4c35-ac3c-8e0b6ff31e23.mp3
90bcc92d-6b97-4493-ad01-8ff0d9e601d8,Unplugged - Singer-Songwriter Guitar Music.mp3,medeo/resource/music/pixabay-bgm/Unplugged - Singer-Songwriter Guitar Music.mp3,Unplugged - Singer-Songwriter Guitar Music,medeo/resource/music/pixabay-bgm/90bcc92d-6b97-4493-ad01-8ff0d9e601d8.mp3
60393fca-29e9-4dea-b932-f5b5e9b65b73,march officina zanchi.mp3,medeo/resource/music/pixabay-bgm/march officina zanchi.mp3,march officina zanchi,medeo/resource/music/pixabay-bgm/60393fca-29e9-4dea-b932-f5b5e9b65b73.mp3
1848046c-e5a7-4546-b7fe-586f7602e62a,Clavicembalo - Late Middle Ages Music from the 16th Century.mp3,medeo/resource/music/pixabay-bgm/Clavicembalo - Late Middle Ages Music from the 16th Century.mp3,Clavicembalo - Late Middle Ages Music from the 16th Century,medeo/resource/music/pixabay-bgm/1848046c-e5a7-4546-b7fe-586f7602e62a.mp3
91b94481-d114-42bb-a698-42686a074170,Background Loop Melodic Techno slash04.mp3,medeo/resource/music/pixabay-bgm/Background Loop Melodic Techno slash04.mp3,Background Loop Melodic Techno slash04,medeo/resource/music/pixabay-bgm/91b94481-d114-42bb-a698-42686a074170.mp3
c4c5a652-0111-4f49-9f7f-01b3fea2cc7b,Looking For Sunshine.mp3,medeo/resource/music/pixabay-bgm/Looking For Sunshine.mp3,Looking For Sunshine,medeo/resource/music/pixabay-bgm/c4c5a652-0111-4f49-9f7f-01b3fea2cc7b.mp3
f366040b-fac2-4a33-91f0-bc25a2628d4b,Chinese Happy New Year.mp3,medeo/resource/music/pixabay-bgm/Chinese Happy New Year.mp3,Chinese Happy New Year,medeo/resource/music/pixabay-bgm/f366040b-fac2-4a33-91f0-bc25a2628d4b.mp3
